Product Names,Star Ratings,Review Count,Sales Volume,MRP Price,Discount Precentage,Discounted Price,Prime Delivery Estimate,Non Prime Delivery Estimate,Festival Tag,Category,Sub Category
boAt Partypal 390 Bluetooth Speaker w/ 160 W,4.2,1.0K,4K ,34990,0.69,10999,10/10/2025,10/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
GOVO GOSURROUND 750 Pro Max,4.4,3745,500,17999,0.79,3799,10/10/2025,14/10/2025,Limited time deal,Electronics,Bluetooth Speakers
HAMMER Drop 5W Bluetooth Wireless Speaker,4.2,969,3K ,3499,0.83,594,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
ZEBRONICS Sound Feast 55,3.9,4806,400,2799,0.61,1099,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Mivi Play Bluetooth Speaker 12 Hours,4.1,24.3K,2K ,1999,0.7,599,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
"Krisons Cylender 4""",3.9,2681,1K,4999,0.72,1419,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Marshall Emberton II,4.5,4481,1K,19999,0.4,11999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
pTron Funk Rap,3.9,218,500,1999,0.76,479,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
JBL Go 4,4.4,11131,500,5499,0.42,3169,10/10/2025,14/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
pTron Fusion Tunes,4,3659,1K,3199,0.75,799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Zebronics Sound Feast 50,3.8,4204,400,2499,0.56,1099,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Zebronics County,3.9,10350,500,999,0.55,449,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
Portronics Nova,4,141,400,3999,0.43,2298,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Portronics Talk Three,3.8,797,500,2999,0.67,999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Tribit StormBox 2,4.2,1414,1K,8999,0.48,4674,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
ZEBRONICS Thump 700,3.6,1955,1K,25499,0.65,8999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Tribit StormBox Mini+,4.4,156,500,3299,0.3,2299,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
Mivi Play,4.1,24421,1K,1999,0.65,699,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
pTron Fusion Joy,4,3659,500,5999,0.73,1648,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Portronics SoundDrum P,4.2,24182,1K,3499,0.46,1879,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
boAt Stone Lumos,4.2,311,500,14990,0.71,4299,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
ZEBRONICS Space Deck Pro,3.6,2496,500,8699,0.6,3499,11/10/2025,13/10/2025,Best seller,Electronics,Bluetooth Speakers
Portronics Harmony Mini,4.4,355,500,4999,0.5,2499,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
pTron Fusion Pro Retro,4,340,1K,4899,0.76,1198,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
JBL Go 3 Eco,4.4,74595,500,4499,0.56,1999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Zebronics ZEB-COUNTY,3.8,19015,500,999,0.55,449,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
Intex 2100 PRO FMUB,3.6,2568,100,4999,0.6,1998,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
boAt Stone 110,3.1,92,1K,2490,0.72,699,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Mivi Roam 2,4.1,44198,400,2999,0.73,799,11/10/2025,13/10/2025,Best seller,Electronics,Bluetooth Speakers
CERLINK JBL Small Ultra,3.1,89,300,1599,0.81,297,10/10/2025,14/10/2025,Best seller,Electronics,Bluetooth Speakers
Marshall Acton III,4.6,1385,400,31999,0.29,22814,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
pTron Funk Wow,3.6,241,400,3999,0.86,578,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
ZEBRONICS Sound Feast 90,3.7,874,500,1699,0.53,799,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
Bose SoundLink Revolve+ (Series II),4.5,862,400,29400,0.35,18990,11/10/2025,13/10/2025,Best seller,Electronics,Bluetooth Speakers
INEFABLE Mini Boost 4,3.6,375,500,899,0.7,271,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
pTron Fusion Bliss,4,3659,500,4599,0.76,1099,11/10/2025,13/10/2025,Best seller,Electronics,Bluetooth Speakers
pTron Fusion Hook v2,3.9,722,500,1499,0.71,428,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Portronics Talk Five,4.1,137,300,2499,0.6,999,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
JBL Flip 6,4.4,39913,1K,13999,0.46,7499,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
boAt Stone 352/358,4,15545,500,3490,0.6,1399,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Dubstep Pop 1200,4.2,290,1K,5999,0.9,599,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
ZEBRONICS Sound Feast 85,4,205,500,3999,0.5,1999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Portronics Soundpot,4.1,6352,200,2999,0.6,1199,11/10/2025,13/10/2025,Best seller,Electronics,Bluetooth Speakers
Sony ULT Field 1,4.4,1794,500,16990,0.53,7990,11/10/2025,13/10/2025,Best seller,Electronics,Bluetooth Speakers
Sony SRS-XB100,3.8,4497,500,5990,0.5,2989,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
ZEBRONICS Sound Feast 40 (Sky Blue),3.8,218,500,1199,0.5,599,11/10/2025,13/10/2025,Best seller,Electronics,Bluetooth Speakers
ZEBRONICS Zeb-Sound Feast 500,3.9,4806,1K,9499,0.68,2999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
GOBOULT Bassbox Q20,1,1,50,7999,0.81,1499,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
ZEBRONICS Sound Feast 800,4.2,185,500,8499,0.55,3799,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
Bose SoundLink Flex (2nd Gen),4.6,6681,500,16900,0.25,12675,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
ZEBRONICS Sound Feast 40,3.8,218,500,1199,0.5,599,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Zebronics ZEB-VITA,3.8,11903,500,1999,0.65,698,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Portronics Apollo 20,3.5,141,500,3499,0.43,1999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Artis Mini 2.0,4.1,3968,500,699,0.53,329,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
GOBOULT Bassbox Q5,4,526,400,2999,0.77,699,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
Marshall Kilburn II,4.3,3551,500,31999,0.39,19654,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
boAt Nirvana Space,4,5.4K,2K ,7999,0.78,1799,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
boAt Airdopes 800,4,6.2K,5K ,6490,0.74,1699,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
GOBOULT Z40 True Wireless in Ear Earbuds 60H,3.8,39.7K,5K ,4999,0.8,999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
Noise Buds N1 Truly Wireless Earbuds Chrome,3.9,12.0K,5K ,3499,0.74,899,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
boAt Nirvana Ion ANC,4,18.9K,5K ,9990,0.82,1799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
boAt Nirvana Ion,4,18.9K,5K ,7990,0.81,1499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
boAt Airdopes 91 Prime,3.4,9.6K,5K ,3990,0.8,799,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
boAt Airdopes 311 Pro,3.6,25.1K,5K ,4990,0.82,899,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
boAt Airdopes 141 ANC(~32dB),3.8,96.4K,2K ,5990,0.77,1399,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
boAt Airdopes 300,4,6.8K,2K ,6490,0.83,1099,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
OnePlus Nord Buds 2r True Wireless in Ear Earbuds,4.2,31.5K,30K ,2299,0.3,1599,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
boAt Airdopes 121 Pro Plus,3.7,26.0K,5K ,4990,0.8,999,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
ZEBRONICS Zeb-Sound Bomb 1 TWS Earbuds BT5.0,3.6,23.4K,1K ,2499,0.76,599,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
Noise Buds VS104 Truly Wireless Earbuds 45H,3.8,28.9K,4K ,3499,0.71,999,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
Canon EOS R50 RF-S18-45mm f/4.5-6.3 is STM,4.4,109,400 ,75995,0.2,60990,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
Sony Alpha ZV-E10L 24.2 Mega Pixel,4.4,760,500 ,69990,0.16,58488,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
Saneen Digital Camera,3.9,1.7K,50 ,29999,0.63,10999,11/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
Sony New Alpha ILCE-6100K (Previously ILCE-6100L),4.5,513,50 ,75990,0.23,58489,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
Canon EOS R50 Mirrorless Camera,4.4,109,50 ,75995,0.18,61990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
Sony Alpha ILCE-6400M 24.2MP Mirrorless Digital,4.5,727,50 ,116490,0.27,85489,10/10/2025,13/10/2025,Best seller,Electronics,Digital Cameras
Canon EOS R50 V Mirrorless Camera Kit with,4.5,10,50 ,79995,0.15,67990,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
Sony Alpha ZV-E10M2 26 MP Interchangeable Lens,4.4,70,50 ,94990,0.2,75988,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
VJIANGER 4K Digital Camera For Photography,3.8,1.6K,100 ,19999,0.63,7499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
Sony Alpha ILCE-6700 APS-C Interchangeable-Lens,4.7,79,100 ,136990,0.17,113488,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
Sony Alpha ZV-E10 24.2 Mega Pixel,4.4,760,100 ,59490,0.17,49488,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
Sony Alpha ZV-E10M2K 26 MP Interchangeable Lens,4.4,70,100 ,104999,0.2,84488,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
Sony New Alpha ILCE-6100X (Previously ILCE-6100Y),4.5,513,200 ,89990,0.21,70989,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Digital Cameras
Canon EOS R8 Smartchoice Full-Frame 24.2 MP,4.6,68,50 ,142995,0.33,95990,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Digital Cameras
"GOBOULT Mustang Torq, 60H Playtime, Quad Mic",4.1,9985,5K,5999,0.73,1599,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Earbuds
"Noise Buds VS601, 50H Playtime, Quad Mic ENC",4,328,4K,3999,0.7,1199,11/10/2025,13/10/2025,Best seller,Electronics,Earbuds
"Noise Buds Trance, 45H Playtime, Low Latency",4.1,290,1K,2499,0.6,999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Earbuds
"GOBOULT Z20, 51H Playtime, ENC Mic",4,5484,1K,5499,0.85,799,10/10/2025,12/10/2025,Best seller,Electronics,Earbuds
"Apple AirPods 4, 30H Battery, Spatial Audio",4.1,721,5K,12900,0.7,11999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"Sony WF-C510, 22H Battery, Ambient Mode",3.9,2466,1K,8990,0.58,3749,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"Philips TAT1269, 40H Playtime, 13mm Drivers",4.3,29,500,1999,0.5,999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"boAt Airdopes 131/8, 60H Playback, ASAP Charge",3.9,3241,5K,2990,0.77,699,10/10/2025,12/10/2025,Limited time deal,Electronics,Earbuds
"TRIGGR Apex S2, 60H Battery, Quad Mic ENC",5,4,400,3999,0.83,699,11/10/2025,13/10/2025,Limited time deal,Electronics,Earbuds
"Noise Buds VS104, 45H Playtime, Quad Mic ENC",3.8,29053,3K,3499,0.77,799,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"Noise Pure Pods, 80H Playtime, Quad Mic ENC",3.3,2537,3K,6999,0.57,2999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"OnePlus Nord Buds 3r, 54H Playback, 2-Mic",4.2,32161,30K,1999,0.2,1599,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Earbuds
"GOBOULT K10, 50H Playtime, 4 Mics ENC",4,6200,1K,2499,0.68,799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"GOBOULT W20, 40H Playtime, ENC Mic",3.9,13006,3K,2499,0.72,699,11/10/2025,13/10/2025,Limited time deal,Electronics,Earbuds
"GOBOULT W60, 60H Playtime, Low Latency",4.3,418,500,1999,0.55,899,11/10/2025,13/10/2025,Limited time deal,Electronics,Earbuds
"OnePlus Nord Buds 3, 43H Playback, ANC",4.2,10893,10K,2799,0.36,1799,11/10/2025,13/10/2025,Best seller,Electronics,Earbuds
"boAt Airdopes Plus 311, 50H Battery, ENx Tech",3.8,4504,500,3990,0.8,799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"pTron Zenbuds X1 4, 40H Playtime, AI-ENC Mic",3.2,140,500,3199,0.84,499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"boAt Airdopes 219, 40H Battery, ENx Tech",4,1161,5K,3990,0.72,1099,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"amazon basics AB-T01B, 80H Playtime, Dual 10mm Drivers",3.6,229,400,2499,0.78,539,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"realme Buds T200 Lite, 48H Playback, 4 Mics ENC",4,28120,10K,1999,0.43,1149,10/10/2025,12/10/2025,Best seller,Electronics,Earbuds
"Noise Buds VS104, 45H Playtime, Quad Mic ENC",3.8,29053,5K,3499,0.77,799,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Earbuds
"pTron Zenbuds 1 V2, 40H Playtime, ANC",3.2,140,400,3999,0.88,499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"OnePlus Nord Buds 2r, 38H Playback, 4-Mic",4.2,32161,30K,2299,0.39,1399,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"Apple EarPods, USB-C",4.3,5953,30K,2000,0.2,1599,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"QCY T17 Pro, 35H Playtime, AI ANC",4.3,12,5K,5999,0.78,1299,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"boAt Airdopes 121 Pro Plus, 100H Battery, ENx Mics",3.7,26219,5K,4990,0.8,999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Earbuds
"boAt Nirvana Ion, 120H Battery, Dual EQ",4,19232,5K,7990,0.81,1499,11/10/2025,13/10/2025,Limited time deal,Electronics,Earbuds
"Mivi DuoPods C1, HD Call Clarity, Low Latency",4,551,700,2999,0.8,599,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"Noise Buds N1, 40H Playtime, Quad Mic ENC",3.9,12267,5K,3499,0.77,799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"boAt Airdopes 300, 50H Battery, 4Mic AI ENx",4,6934,500,6490,0.82,1199,10/10/2025,12/10/2025,Best seller,Electronics,Earbuds
"OnePlus Nord Buds 3, 43H Playback, ANC",4.2,10893,20K,2799,0.36,1799,11/10/2025,13/10/2025,Limited time deal,Electronics,Earbuds
"Fire-Boltt Aero, 50H Playtime, Gaming & Music",4.1,7382,50,8999,0.91,799,10/10/2025,12/10/2025,Best seller,Electronics,Earbuds
"realme Earbuds Air 7, 52H Playtime, 52dB ANC",4.2,1500,10K,4999,0.44,2799,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"OnePlus Nord Buds 3 Pro, 49dB ANC, 44H Playback",4.2,10893,30K,3699,0.3,2599,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"realme Buds T310, 40H Battery, 46dB ANC",4.2,15148,4K,3999,0.58,1699,10/10/2025,12/10/2025,Best seller,Electronics,Earbuds
"realme Buds T310, 40H Battery, 46dB ANC",4.2,15148,10K,3999,0.58,1699,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Earbuds
"Noise Master Buds, 44H Playtime, Adaptive ANC",4,1184,1K,7999,0.31,5498,10/10/2025,14/10/2025,Limited time deal,Electronics,Earbuds
"realme Buds T200x, 48H Playback, Quad Mic",4,28120,10K,2499,0.52,1199,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"pTron Bassbuds Spark, 40H Playtime, Stereo Calls",4,1941,2K,1999,0.73,549,10/10/2025,12/10/2025,Best seller,Electronics,Earbuds
"Samsung Galaxy Buds Core, 35H Battery, ANC",4,492,10K,9999,0.61,3899,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"pTron Bassbuds Vortex Clips, 50H Playtime, AI-ENC Mic",3.6,273,2K,2899,0.69,899,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"Sony WF-C710NSA, 40H Battery, Dual Noise Cancellation",3.8,467,1K,12990,0.46,6990,11/10/2025,13/10/2025,Limited time deal,Electronics,Earbuds
"GOBOULT Z20, 51H Playtime, ENC Mic",4,5484,3K,5499,0.85,799,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"GOBOULT Z20, 51H Playtime, ENC Mic",4,5484,3K,5499,0.85,799,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Earbuds
"GOBOULT Astra, 48H Playtime, 4 Mics ENC",4.1,1728,1K,3499,0.66,1199,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"GOBOULT Z20 Pro, 60H Playtime, Gaming",4,6692,1K,5999,0.74,1541,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"GOBOULT Astra, 48H Playtime, 4 Mics ENC",4.1,1728,2K,3499,0.66,1199,10/10/2025,12/10/2025,Best seller,Electronics,Earbuds
"boAt Airdopes Joy, 35H Battery, ENx Mics",3.9,5071,5K,3490,0.77,799,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Earbuds
"OnePlus Nord Buds 2r, 38H Playback, 4-Mic",4.2,32161,10K,2299,0.39,1399,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Earbuds
"Mivi DuoPods Maxx, 50H Playtime, AI-ENC Mic",4,551,3K,2999,0.8,598,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"GOBOULT Z40, 60H Playtime, Zen ENC Mic",3.8,40139,5K,4999,0.8,999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Earbuds
"Mivi SuperPods Immersio, 60H Battery, AI-ENC Mic",3.6,2691,2K,6499,0.72,1799,10/10/2025,14/10/2025,Great Indian Festival,Electronics,Earbuds
"GOBOULT Z40 Pro, 100H Playtime, Quad Mic",3.8,40139,1K,5499,0.8,1099,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Earbuds
"realme Buds T200x, 48H Playback, 25dB ANC",4,28120,2K,2499,0.52,1199,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"boAt Airdopes 91 Prime, 45H Battery, 13mm Drivers",3.4,9834,5K,3990,0.8,799,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Earbuds
"truke Mega 7, 60H Playtime, 4-Mic ENC",4.7,67,900,3499,0.74,899,10/10/2025,14/10/2025,Limited time deal,Electronics,Earbuds
"ACwO Dwots Fire, 3+3 EQ Modes, Wireless Charging",3.7,883,300,7999,0.8,1599,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Earbuds
"Noise Buds N1, 40H Playtime, Quad Mic ENC",3.9,12267,3K,3499,0.77,799,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
"GOBOULT Astra Neo, 70H Playtime, 40mm Bass",4,574,1K,3499,0.69,1099,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Earbuds
"GOBOULT Astra Neo, 70H Playtime, 40mm Bass",4,574,1K,3499,0.71,999,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Earbuds
"GOBOULT Mustang Torq, 60H Playtime, Quad Mic",4.1,9985,5K,5999,0.73,1599,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Earbuds
truke Newly Launched BTG 500 Over The Ear Gaming,4.1,321,500 ,2499,0.64,899,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
"Sony WH-1000XM6, Noise Cancelling, Studio-Quality",4.4,1069,50,49990,0.2,39989,10/10/2025,14/10/2025,Deal with GST Savings,Electronics,Headphones
boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth,4,65.2K,5K ,4999,0.7,1499,10/10/2025,12/10/2025,Best seller,Electronics,Headphones
"Skullcandy Crusher ANC 2, 50H Battery, 100dB Bass",4.2,35939,100,49999,0.68,15999,10/10/2025,12/10/2025,Deal with GST Savings,Electronics,Headphones
boAt New Launch Rockerz 650 Pro,4.2,1.8K,5K ,8990,0.74,2299,10/10/2025,12/10/2025,Best seller,Electronics,Headphones
"Noise Master Buds Max, Adaptive ANC, 60H Playtime, Onyx",5,4,50,11999,0.8,10999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
boAt 2025 Launch Rockerz 421,4.2,727,4K ,2490,0.56,1099,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
"AKG K240, Professional Studio",4.5,11660,100,19273,0.76,4600,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Headphones
boAt Rockerz 411 (2025 Launch),4.2,27.1K,5K ,2999,0.6,1199,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
"JBL Tune 770NC, ANC, 70H Battery",4,27252,3K,9999,0.5,4998,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
Spigen Audio Newly Launched SA-HP P10 Wireless,3.7,46,50 ,5899,0.44,3299,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
"Audio-Technica ATH-M30X, On-Ear Stereo",4.6,11926,50,12862,0.49,6499,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
GOBOULT Made in India Q Over Ear Bluetooth,4,4.5K,3K ,5999,0.7,1799,10/10/2025,12/10/2025,Best seller,Electronics,Headphones
"Portronics Muffs M5, Hybrid ANC, 50H Playtime",4.3,9,50,3999,0.53,1899,10/10/2025,12/10/2025,Best seller,Electronics,Headphones
Audio-Technica ATH-M20x Over-Ear Professional,4.4,25.1K,50 ,8142,0.48,4199,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
"HAMMER Bash Pro, Hybrid ANC, 37H Playtime",4.1,99,50,11999,0.75,2999,11/10/2025,13/10/2025,Limited time deal,Electronics,Headphones
boAt Rockerz 650 Pro (2025 Launch),4.2,1.8K,4K ,8990,0.72,2499,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
"Bose New QuietComfort, Noise Cancelling, 24H Battery",4.4,11217,50,27900,0.32,18999,11/10/2025,13/10/2025,Deal with GST Savings,Electronics,Headphones
HP H300 Over Ear Wireless Headset,3.5,110,1K ,3749,0.76,899,10/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
"truke BTG Thunder, 70H Playtime, Gaming Mode",4,318,50,2999,0.57,1299,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
GOBOULT Made in India Newly Launched Q Over Ear,5,11,50 ,5999,0.7,1799,10/10/2025,13/10/2025,Best seller,Electronics,Headphones
"Noise Master Buds Max, Adaptive ANC, 60H Playtime",5,4,50,11999,0.8,10999,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Headphones
Srhythm NC25 Hybrid Noise Cancelling Headphones,4.2,14.7K,3K ,9999,0.51,4886,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Headphones
